carport_type,carport_type_name,panel_length_mm,panel_width_mm,panel_power_w,area_length_mm,number_row,delivery_area,delivery_artic_cost_gbp,total_power_kw,total_weight_kg,total_cost_gbp
1,SingleMonoIncline,1750,1750,600,250000,3,Dartford,765,246.6,41619.98328,119423.54820000002
2,SingleMonoDecline,2500,1134,1000,75000,3,Glasgow,1260,186,15324.788039999998,44671.44010000001
1,SingleMonoIncline,2500,1134,450,20000,3,Chelmsford,670,21.6,4650.41588,13961.7097
4,GullWing,4000,2000,800,15000,6,St Albans,760,33.6,7630.09888,21079.4772
4,GullWing,2500,1000,200,50000,6,Magor - Limerick,1750,55.2,19067.13236,56083.10089999999
4,GullWing,2333,1750,800,29000,6,Truro,860,76.8,9800.25132,27585.338299999996
3,DuoMono,2333,2000,700,300000,6,Carlisle,950,604.8,101975.71523,279575.9580749999
1,SingleMonoIncline,2000,1000,500,50000,3,Norwich,839,69,9468.6289,27902.402250000003
3,DuoMono,1500,1250,250,9000,6,Bournemouth,760,10.5,4180.1756000000005,12454.668999999996
1,SingleMonoIncline,2333,750,800,150000,3,Guildford,660,434.4,30149.95624,87854.4406
4,GullWing,2000,750,450,9000,6,Crewe,555,29.7,4762.6912999999995,13949.158249999999
3,DuoMono,2000,900,600,100000,6,Worcester,456,367.2,38393.83195,107222.36987499999
2,SingleMonoDecline,2000,2500,800,100000,3,Wakefield,687,93.6,17639.067,49999.09750000001
3,DuoMono,2000,900,800,29000,6,Leicester,594,144,12680.006599999999,35750.806500000006
2,SingleMonoDecline,3000,1134,700,75000,3,County Waterford Ireland,1750,130.2,16295.588039999999,47588.44010000001
4,GullWing,1500,1750,600,150000,6,Slough,610,295.2,37115.157719999996,104754.92429999998
4,GullWing,3000,1000,300,250000,6,Dartford,765,415.8,94927.96436,263705.8209
2,SingleMonoDecline,1500,1134,800,200000,3,Tonbridge,760,396,33510.57111999999,97597.89780000004
1,SingleMonoIncline,2333,1750,300,300000,3,Kingston Upon Thames,754,147.6,53216.223679999996,150830.26919999998
1,SingleMonoIncline,1750,2500,800,300000,3,Ipswich,761,278.4,47872.4818,135625.63450000001
3,DuoMono,4000,1750,400,200000,6,Stevenage,728,261.6,87633.50685,236275.79712499995
1,SingleMonoIncline,3500,1250,400,150000,3,Blackburn,693,135.6,32384.66416,91440.0104
3,DuoMono,2500,1250,200,40000,6,Falkirk,1290,36,17085.04875,47866.491875
1,SingleMonoIncline,3000,2000,700,60000,3,Doncaster,718,60.9,12029.583639999999,34074.06909999999
1,SingleMonoIncline,2500,750,450,40000,3,Paisley,1400,64.8,9116.773999999998,27644.565000000002
3,DuoMono,2000,1750,1200,50000,6,Magor - Newry,1395,194.4,17253.14085,48209.322125
2,SingleMonoDecline,1500,1000,800,75000,3,St Albans,760,165.6,12866.77778,37832.13445000001
1,SingleMonoIncline,3500,1500,800,100000,3,Motherwell,1300,151.2,20783.89746,60096.69365
4,GullWing,1500,2000,800,75000,6,Blackpool,710,172.8,18291.02432,51888.110799999995
2,SingleMonoDecline,1500,1134,500,20000,3,Edinburgh,1300,24,4073.75588,13150.0597
3,DuoMono,3500,1134,1200,75000,6,Leicester,594,446.4,36678.596840000006,100509.20210000002
2,SingleMonoDecline,2500,750,600,60000,3,Thurso,1800,129.6,12649.450040000002,38012.93510000001
4,GullWing,2000,750,1000,50000,6,Galashiels,1200,360,18126.96316,53483.8779
3,DuoMono,2000,2500,600,40000,6,Harrow,751,57.6,14604.31335,40274.453375
4,GullWing,1500,1750,500,50000,6,Kilmarnock,1100,81,13386.493060000003,38326.30265
2,SingleMonoDecline,1500,2000,200,10000,3,Warrington,606,3,2406.31148,7545.968699999999
3,DuoMono,1750,900,300,40000,6,Carlisle,950,73.8,16032.42035,45563.72087499999
2,SingleMonoDecline,2000,1500,450,100000,3,Harrow,751,85.05,17497.81746,50032.493650000004
1,SingleMonoIncline,3000,1500,800,250000,3,County Waterford Ireland,1750,379.2,48055.61433999999,138698.94585000002
2,SingleMonoDecline,1500,1134,250,15000,3,Plymouth,582,9,3514.96384,10913.479599999997
3,DuoMono,4000,900,800,10000,6,Nottingham,641,48,6880.6195,19269.178749999995
3,DuoMono,4000,900,400,20000,6,Dudley,500,48,12212.14545,33472.07362499999
3,DuoMono,2000,2500,1000,15000,6,Brighton,765,36,6670.814649999999,19032.54662499999
3,DuoMono,2333,1000,450,20000,6,London West Central,756,51.3,9486.449849999999,26853.034624999986
3,DuoMono,3500,750,1000,150000,6,Cardiff,395,1086,80324.5978,219494.88449999996
2,SingleMonoDecline,2333,750,700,60000,3,Oldham,642,151.2,12352.866800000002,36113.477000000006
4,GullWing,3000,1000,200,200000,6,Telford,493,222,76972.22476000001,212594.8319
1,SingleMonoIncline,3500,1134,450,15000,3,Sheffield,634,16.2,4518.76384,13474.979599999997
4,GullWing,2333,2000,400,40000,6,Wigan,628,45.6,12842.31648,35574.18120000001
2,SingleMonoDecline,2000,1500,400,300000,3,Hemel Hempstead,697,228,51793.38964,147892.5841
2,SingleMonoDecline,3000,1000,250,250000,3,London W,750,173.25,50649.641840000004,144403.21460000004
1,SingleMonoIncline,4000,2000,450,250000,3,Llandudno,854,162,51571.09194,143644.43985
4,GullWing,3000,1500,600,29000,6,Llandrindod Wells,465,64.8,11386.86428,31278.470699999998
2,SingleMonoDecline,2000,1500,500,300000,3,Blackpool,710,285,51793.38964,147931.5841
1,SingleMonoIncline,1750,750,300,29000,3,Darlington,829,31.5,6202.54526,18985.71315
4,GullWing,3000,1750,1200,100000,6,Cardiff,395,396,34589.421019999994,94025.86255000002
3,DuoMono,1500,750,700,15000,6,Blackpool,710,75.6,6967.11445,20447.896124999996
4,GullWing,2500,1500,500,60000,6,Southend on Sea,690,114,21086.46096,58958.3024
1,SingleMonoIncline,3000,750,300,250000,3,Romford,810,270.9,53260.245740000006,153237.72435000006
3,DuoMono,4000,1750,1200,250000,6,London SW,761,986.4,111077.759,300311.2275000001
3,DuoMono,1500,1250,600,50000,6,London East Central,751,136.8,17799.0743,50006.035749999995
3,DuoMono,3500,750,500,9000,6,Guildford,660,33,6368.9821999999995,18069.885499999997
2,SingleMonoDecline,3500,900,400,75000,3,Luton,718,92.4,17917.282919999998,51066.67730000001
3,DuoMono,3500,1500,450,300000,6,Stevenage,728,513,128811.8071,349994.06775
1,SingleMonoIncline,3500,1750,250,20000,3,Galashiels,1200,8.25,5127.071619999999,15531.34905
2,SingleMonoDecline,2500,900,400,250000,3,Doncaster,718,306,48347.42994,139281.28485000003
3,DuoMono,2000,750,450,150000,6,Southampton,585,488.7,60798.9178,171045.68449999997
3,DuoMono,3500,1500,800,150000,6,Bradford,734,456,65726.13590000001,178730.92974999995
2,SingleMonoDecline,2333,1000,400,20000,3,Cardiff,395,22.8,4770.3027,14077.626749999996
1,SingleMonoIncline,2000,750,1000,40000,3,Stoke on Trent,582,144,8482.844,25241.74
2,SingleMonoDecline,2500,1500,400,10000,3,Nottingham,641,7.2,2623.56338,8154.49845
1,SingleMonoIncline,1500,2500,1200,75000,3,Kingston Upon Thames,754,104.4,12156.27578,34833.879450000015
2,SingleMonoDecline,2000,2500,1200,100000,3,Dumfries,1200,140.4,17639.067,50512.09750000001
4,GullWing,2333,2500,800,100000,6,Wigan,628,187.2,28632.83572,78627.59930000005
2,SingleMonoDecline,1500,1000,200,15000,3,London NW,760,8.4,3621.5052200000005,11418.633049999999
1,SingleMonoIncline,3500,2000,450,250000,3,Glasgow,1260,162,49122.31194000001,138740.48985
1,SingleMonoIncline,2333,1500,250,75000,3,Stevenage,728,35.25,13791.60136,39443.39340000001
1,SingleMonoIncline,2500,2000,1000,250000,3,Magor - Cork,1850,360,44224.75194,128266.58985
1,SingleMonoIncline,1750,1500,1000,300000,3,Magor - Portlaoise,1550,570,50166.699640000006,146384.8591
3,DuoMono,3000,2000,900,200000,6,Magor - Sligo,1750,518.4,75137.07435000001,209354.31587499994
1,SingleMonoIncline,1500,2500,500,200000,3,Southall,741,117,31990.798119999996,91115.66530000004
3,DuoMono,1500,1250,800,250000,6,Harrow,751,902.4,80677.4769,225839.32224999997
3,DuoMono,3500,2000,450,100000,6,Chester,586,129.6,40782.476350000004,110300.78087499997
1,SingleMonoIncline,2500,1000,450,250000,3,Bristol,430,311.85,47548.33183999999,135689.9396
4,GullWing,2000,2000,1000,75000,6,Derby,630,216,20605.224319999998,57513.610799999995
2,SingleMonoDecline,2000,1500,800,300000,3,Milton Keynes,582,456,51793.38964,147547.5841
3,DuoMono,3000,1750,200,40000,6,Worcester,456,26.4,17461.230750000002,47486.546875
2,SingleMonoDecline,2333,1000,450,29000,3,Chelmsford,670,36.45,6544.389180000001,19438.12295
1,SingleMonoIncline,2333,750,800,150000,3,Falkirk,1290,434.4,30149.95624,89114.4406
3,DuoMono,3500,900,1000,60000,6,London NW,760,366,30706.3163,84441.54075
4,GullWing,3000,1134,400,20000,6,London NW,760,38.4,9799.5706,27483.636499999993
3,DuoMono,3500,2000,450,75000,6,St Albans,760,97.2,30927.706850000002,83882.09712500001
2,SingleMonoDecline,1500,900,450,250000,3,Northampton,582,344.25,41846.06994,122619.88485000002
4,GullWing,2500,2500,900,150000,6,Exeter,594,313.2,42700.213520000005,116777.08380000001
1,SingleMonoIncline,3000,1500,400,300000,3,Bromley,764,228,58300.149639999996,165124.4841
2,SingleMonoDecline,4000,750,300,10000,3,Stoke on Trent,582,10.8,3463.04508,10376.6027
2,SingleMonoDecline,1750,900,800,75000,3,London North,751,184.8,14207.63292,41825.5523
1,SingleMonoIncline,3500,1750,200,40000,3,Sunderland,929,13.2,9371.7921,27020.710250000004
1,SingleMonoIncline,2000,2500,800,9000,3,Bath,499,7.2,2238.8889799999997,6959.612449999999
3,DuoMono,1750,2500,250,15000,6,Portsmouth,582,9,6418.99465,18219.996624999996
4,GullWing,2333,2500,900,10000,6,Shrewsbury,493,21.6,4678.79288,13251.812199999998
4,GullWing,1500,2500,500,300000,6,Southend on Sea,690,348,67618.49476,187909.98690000002
2,SingleMonoDecline,1500,2500,450,60000,3,Magor - Waterford,1750,31.05,9911.15194,29627.589849999997
2,SingleMonoDecline,1500,1000,1000,20000,3,Sheffield,634,57,4248.8750199999995,13013.057549999996
1,SingleMonoIncline,2500,2000,200,75000,3,Magor - Dublin,1450,21.6,13822.65938,39908.63845
4,GullWing,2000,750,600,200000,6,Edinburgh,1300,867.6,66275.06842,191991.74105
3,DuoMono,2333,1500,200,10000,6,Huddersfield,695,7.2,4737.69258,13722.661449999998
4,GullWing,2500,1134,400,29000,6,Magor - Kilkenny,1650,57.6,11016.44132,31902.21329999999
1,SingleMonoIncline,1750,1500,1200,100000,3,Chelmsford,670,226.8,16950.137459999998,48582.29365
2,SingleMonoDecline,1500,900,400,150000,3,Nottingham,641,183.6,25389.254419999997,74656.40605000002
4,GullWing,3500,1250,200,100000,6,Southampton,585,90,40770.05002,111658.43505000003
3,DuoMono,3500,1000,700,200000,6,Chelmsford,670,777,95306.74995000001,260459.70487499994
2,SingleMonoDecline,2333,2500,1200,15000,3,Swindon,460,21.6,3877.12598,11514.48495
2,SingleMonoDecline,3500,1000,1000,300000,3,Kilmarnock,1100,834,65272.01203999999,186573.3401
2,SingleMonoDecline,3500,1500,1000,20000,3,Cleveland,832,39,5249.276219999999,15529.660549999999
1,SingleMonoIncline,2000,1750,250,15000,3,Blackpool,710,6,3674.9735200000005,11319.9038
4,GullWing,3500,2500,800,75000,6,Leeds,686,139.2,26474.588920000002,71873.42230000002
3,DuoMono,2333,1134,600,75000,6,Dorchester,560,223.2,30454.40972,84286.73430000003
1,SingleMonoIncline,2000,2000,500,9000,3,Magor - Cork,1850,6,2316.72378,8535.59945
1,SingleMonoIncline,4000,2500,250,100000,3,London West Central,756,29.25,21652.347,60857.2975
1,SingleMonoIncline,3500,1500,600,60000,3,Plymouth,582,68.4,13016.58684,36679.17709999999
2,SingleMonoDecline,1750,1000,800,15000,3,Kirkcaldy,1200,33.6,3756.32522,12195.683049999998
4,GullWing,2500,1000,1000,20000,6,Luton,718,114,9309.3276,26398.42899999999
4,GullWing,3500,1000,500,150000,6,Magor - Kilkenny,1650,417,65151.273120000005,183080.81279999996
4,GullWing,2500,1000,900,300000,6,Edinburgh,1300,1501.2,103088.72552,291908.4438
2,SingleMonoDecline,3000,750,200,75000,3,London W,750,54,16530.688580000002,47620.31145000001
4,GullWing,1750,2500,900,10000,6,Lancaster,769,21.6,4069.3013600000004,12004.083399999998
4,GullWing,2500,900,500,100000,6,Llandrindod Wells,465,306,36433.13392,102097.74480000001
3,DuoMono,2000,1750,500,10000,6,Magor - Derry,1450,15,4341.5748,13426.566999999997
3,DuoMono,2500,750,700,75000,6,Magor - Galway,1750,378,33587.87345,95795.71362500002
2,SingleMonoDecline,3000,1000,200,29000,3,Motherwell,1300,16.2,7119.86686,21506.81715
2,SingleMonoDecline,3000,2500,500,9000,3,Brighton,765,4.5,2505.58898,7892.36245
3,DuoMono,1750,1750,1000,50000,6,London East,760,162,16562.27085,45847.147124999996
4,GullWing,2333,2500,900,10000,6,Sheffield,634,21.6,4678.79288,13392.812199999998
3,DuoMono,3500,1500,300,60000,6,Blackburn,693,68.4,26853.080100000003,73276.05025
3,DuoMono,1750,1500,1200,50000,6,Llandudno,854,230.4,18163.446900000003,51509.16724999999
1,SingleMonoIncline,4000,900,700,15000,3,St Albans,760,31.5,4926.337119999999,14711.112799999997
2,SingleMonoDecline,2000,1134,700,300000,3,Magor - Kilkenny,1650,518.7,52525.12822,153906.65055000002
1,SingleMonoIncline,3000,750,1000,200000,3,Durham,914,723,43526.52552,126170.18380000004
1,SingleMonoIncline,2500,1500,700,50000,3,Luton,718,67.2,10458.84644,30238.426099999997
4,GullWing,1750,900,1200,100000,6,Twickenham,742,734.4,30077.51392,86297.69480000003
2,SingleMonoDecline,2500,1750,400,100000,3,Perth,1500,66,19130.4888,56527.051999999996
1,SingleMonoIncline,1750,1000,1000,40000,3,London West Central,756,111,7963.4541,23782.865249999995
2,SingleMonoDecline,4000,2500,700,300000,3,Magor - Belfast,1350,243.6,60276.6868,169753.14700000006
4,GullWing,4000,1134,450,300000,6,Magor - Killarney,1950,666.9,130859.80294000001,366818.0573500001
4,GullWing,2500,1134,800,150000,6,Aberdeen,1645,595.2,51445.44495999999,146239.24239999996
4,GullWing,2500,1500,600,15000,6,Kilmarnock,1100,32.4,5902.010319999999,17220.855799999998
1,SingleMonoIncline,4000,2500,600,200000,3,Romford,810,140.4,41548.498120000004,115957.91530000004
4,GullWing,1500,900,900,29000,6,Reading,530,162,8979.87068,26055.58669999999
3,DuoMono,2000,900,400,9000,6,Warrington,606,21.6,4677.3069000000005,13665.097249999997
2,SingleMonoDecline,1500,1500,900,50000,3,Cardiff,395,86.4,9211.92644,26798.126099999994
1,SingleMonoIncline,2000,1250,400,9000,3,Magor - Ballymena,1395,8.4,2481.1231799999996,8582.79795
1,SingleMonoIncline,3000,1750,600,40000,3,Cardiff,395,39.6,8885.492100000001,25270.960250000004
4,GullWing,2333,750,900,50000,6,Watford,768,324,19784.34412,56763.330299999994
4,GullWing,1500,1000,1000,15000,6,Lancaster,769,84,6122.6456800000005,18178.72419999999
4,GullWing,2500,1250,900,15000,6,Blackburn,693,59.4,6234.340179999999,17766.280449999995
4,GullWing,2333,1250,1000,40000,6,Medway,797,180,14075.12292,39493.99730000002
1,SingleMonoIncline,3000,750,300,60000,3,Reading,530,64.8,13537.75004,38963.685099999995
4,GullWing,4000,2500,200,29000,6,Sheffield,634,13.2,12375.228880000002,33492.782199999994
3,DuoMono,2500,1500,900,250000,6,Ilford,779,853.2,91930.23855000002,252659.14637500004
4,GullWing,2000,900,200,40000,6,Leeds,686,49.2,13999.48708,39862.707700000006
2,SingleMonoDecline,2333,1250,800,200000,3,York,754,360,36365.68348,104614.59870000002
3,DuoMono,1500,2500,700,100000,6,Twickenham,742,163.8,30836.7941,85022.45525000001
3,DuoMono,2500,1250,700,300000,6,Edinburgh,1300,949.2,115764.24650000002,322839.96625000006
2,SingleMonoDecline,3500,1000,1000,9000,3,London SE,749,24,2932.93298,9096.72245
2,SingleMonoDecline,4000,1500,250,9000,3,Cambridge,720,4.5,3077.0733800000003,9367.27345
2,SingleMonoDecline,1500,1000,700,250000,3,Blackburn,693,485.1,41345.711839999996,120972.38960000001
1,SingleMonoIncline,1750,900,250,40000,3,Hemel Hempstead,697,30.75,8069.4193,24110.37825
3,DuoMono,1500,2500,1000,9000,6,Ilford,779,18,3610.7265,10806.846249999999
4,GullWing,1750,1000,1000,75000,6,Romford,810,414,21969.23192,63290.029800000004
1,SingleMonoIncline,2500,1134,1000,29000,3,Wolverhampton,530,72,6595.2247,19334.01175
2,SingleMonoDecline,2500,2500,1000,29000,3,Plymouth,582,33,6131.23006,17830.82515
3,DuoMono,1500,1750,600,75000,6,York,754,147.6,24408.887699999996,68284.12924999998
1,SingleMonoIncline,2000,1134,1200,20000,3,Magor - Portlaoise,1550,57.6,4362.0858800000005,14120.884699999999
3,DuoMono,2333,2500,300,29000,6,York,754,19.8,11164.356759999999,30966.481900000006
4,GullWing,2333,1250,700,50000,6,Hull,753,159.6,17674.15288,49367.25219999999
3,DuoMono,1750,2000,400,150000,6,Magor - Enniskillen,1450,172.8,47130.135350000004,131849.448375
2,SingleMonoDecline,3000,1750,400,40000,3,Magor - Killarney,1950,26.4,8885.492100000001,26825.960250000004
3,DuoMono,2000,1500,500,200000,6,London East Central,751,381,69196.0781,191047.70524999997
1,SingleMonoIncline,2000,1000,500,15000,3,York,754,21,3891.1452200000003,12086.733049999997
4,GullWing,1500,900,250,10000,6,Walsall,530,15,4151.79456,12336.116399999999
1,SingleMonoIncline,3500,1500,450,250000,3,Leicester,594,213.3,50730.11433999999,141917.19585000002
1,SingleMonoIncline,3500,1500,500,75000,3,London NW,760,70.5,15715.54928,44285.26320000001
1,SingleMonoIncline,2333,900,1200,75000,3,Blackburn,693,277.2,15443.61252,44857.5013
2,SingleMonoDecline,2000,1500,400,40000,3,Derby,630,30,7890.463599999999,23109.589
1,SingleMonoIncline,1750,750,1200,29000,3,Southend on Sea,690,126,6202.54526,18846.71315
3,DuoMono,1750,1500,1200,20000,6,Northampton,582,93.6,7993.07285,22580.792124999996
2,SingleMonoDecline,2000,1134,250,40000,3,Magor - Wexford,1750,24.75,8162.977979999999,25154.07495
3,DuoMono,3500,1500,800,20000,6,London SW,761,62.4,10433.272850000001,28860.292124999993
3,DuoMono,1500,1250,300,200000,6,London W,750,270,63892.365750000004,178775.74437499995
1,SingleMonoIncline,3500,1134,500,29000,3,Twickenham,742,36,7422.4447,21614.06175
2,SingleMonoDecline,1750,1250,1000,150000,3,Lancaster,769,339,26150.60416,76006.86039999999
4,GullWing,2000,900,700,75000,6,Hereford,414,323.4,25509.962919999998,72269.53730000003
3,DuoMono,1750,2500,700,75000,6,Stockport,600,121.8,23496.84905,64559.35262500001
3,DuoMono,2000,2000,400,15000,6,Harrow,751,16.8,6555.89985,18792.059624999994
1,SingleMonoIncline,2500,1134,900,150000,3,Kilmarnock,1100,334.8,29178.6802,84573.4505
1,SingleMonoIncline,3500,2500,600,150000,3,Doncaster,718,104.4,29224.280420000003,81509.97105000002
3,DuoMono,3500,2500,400,200000,6,Magor - Sligo,1750,187.2,78697.76350000002,217568.71875
3,DuoMono,1750,1134,300,50000,6,Sunderland,929,73.8,17880.97097,50164.09742499999
4,GullWing,2500,1000,900,300000,6,Aberdeen,1645,1501.2,103088.72552,293978.4438
4,GullWing,1500,2500,300,100000,6,Exeter,594,70.2,23815.76332,66516.91830000002
1,SingleMonoIncline,1750,1250,900,60000,3,Wakefield,687,121.5,10746.85544,31322.648599999997
2,SingleMonoDecline,1500,1134,900,10000,3,Walsall,530,21.6,2398.27996,7541.0899
3,DuoMono,1750,1250,1000,200000,6,Bournemouth,760,900,67059.31575000001,186733.11937499995
4,GullWing,1500,750,700,300000,6,Dudley,500,1516.2,84094.98922000002,243737.22305000003
1,SingleMonoIncline,2000,2000,1200,100000,3,Southampton,585,172.8,17159.555460000003,48564.83865000001
1,SingleMonoIncline,2000,750,800,20000,3,Sutton,759,57.6,4628.51902,14239.167549999996
2,SingleMonoDecline,3000,1500,600,150000,3,Liverpool,594,171,29933.072760000003,84565.83189999999
2,SingleMonoDecline,1500,1134,450,10000,3,Shrewsbury,493,10.8,2398.27996,7504.0899
2,SingleMonoDecline,1500,1000,1200,20000,3,Slough,610,68.4,4248.8750199999995,12989.057549999996
1,SingleMonoIncline,2333,900,400,100000,3,Falkirk,1290,122.4,19371.84358,57732.15895000001
4,GullWing,2333,1134,800,60000,6,Twickenham,742,235.2,20046.636300000002,56698.26075
4,GullWing,4000,750,1000,50000,6,Chelmsford,670,360,28081.203160000005,77309.47790000001
2,SingleMonoDecline,2000,1000,700,29000,3,County Waterford Ireland,1750,56.7,6257.00686,19799.66715
4,GullWing,3000,900,250,50000,6,Stockport,600,76.5,22026.13732,61484.61329999999
2,SingleMonoDecline,2000,750,500,60000,3,Worcester,456,108,11761.150039999999,34448.1851
2,SingleMonoDecline,1750,2500,400,75000,3,Huddersfield,695,34.8,12518.405780000001,35680.20445000001
4,GullWing,2500,1250,700,75000,6,Dorchester,560,235.2,25067.988319999997,69746.5208
3,DuoMono,3000,1500,250,50000,6,Magor - Kilkenny,1650,48,22201.4469,63196.16724999999
2,SingleMonoDecline,2500,750,400,50000,3,Magor - Kilkenny,1650,72,10560.4561,31868.57025
1,SingleMonoIncline,4000,750,900,29000,3,Exeter,594,94.5,8357.82026,24138.90065
3,DuoMono,2000,1134,300,40000,6,Huddersfield,695,59.4,16063.09881,44899.017024999994
1,SingleMonoIncline,1750,1750,1200,100000,3,Telford,493,198,17482.9488,49901.20199999999
2,SingleMonoDecline,1750,900,1200,40000,3,Southall,741,147.6,8069.4193,24154.37825
1,SingleMonoIncline,1750,2000,250,9000,3,Magor - Cavan,1450,3,2247.07878,7961.4869499999995
4,GullWing,1750,1500,200,15000,6,Salisbury,493,10.8,4937.30032,14202.0808
2,SingleMonoDecline,1750,1000,400,250000,3,Falkirk,1290,277.2,42896.366839999995,126640.0271
4,GullWing,2333,1000,400,9000,6,Hereford,414,19.2,4839.405839999999,13817.5446
1,SingleMonoIncline,2333,2500,400,9000,3,Blackpool,710,3.6,2327.7137000000002,7392.674249999999
4,GullWing,1750,1250,300,100000,6,Bromley,764,135,27958.79002,79403.28505000003
2,SingleMonoDecline,2500,1134,500,40000,3,Durham,914,49.5,8714.617979999999,25697.174949999997
3,DuoMono,1500,2500,200,100000,6,Luton,718,46.8,30836.7941,84974.45525000001
2,SingleMonoDecline,1500,1134,1000,15000,3,Magor - Cavan,1450,36,3514.96384,11781.479599999997
2,SingleMonoDecline,3500,900,500,250000,3,Paisley,1400,382.5,54848.789939999995,158980.68485000002
4,GullWing,2500,900,450,20000,6,Bradford,734,54,9249.33684,26325.25209999999
1,SingleMonoIncline,1500,1250,300,200000,3,Guildford,660,135,32563.696080000005,94167.63020000001
4,GullWing,2000,900,250,75000,6,Magor - Galway,1750,115.5,25509.962919999998,74941.53730000003
2,SingleMonoDecline,1750,2000,600,200000,3,Magor - Waterford,1750,172.8,32586.52978,94763.11445
4,GullWing,4000,750,600,150000,6,Magor - Newry,1395,651.6,78513.69802000001,219415.47504999998
4,GullWing,4000,1750,900,60000,6,Wigan,628,178.2,27082.267460000003,73519.81865
1,SingleMonoIncline,2000,2000,1000,200000,3,Swansea,571,288,33570.49978,94865.03945
4,GullWing,1750,900,200,300000,6,Worcester,456,367.2,86508.74672000001,246207.61680000005
4,GullWing,2333,900,400,10000,6,Cleveland,832,24,5236.160639999999,15349.031599999998
4,GullWing,2333,1750,300,50000,6,Blackpool,710,48.6,16358.103939999999,45365.32985
1,SingleMonoIncline,3000,1000,700,40000,3,Magor - Derry,1450,77.7,9401.954099999999,28073.115250000003
3,DuoMono,1750,1750,400,10000,6,Hull,753,12,4172.5848000000005,12307.091999999997
1,SingleMonoIncline,2333,1000,250,60000,3,Romford,810,42,11965.61336,34826.94339999999
4,GullWing,4000,2500,300,150000,6,Halifax,702,104.4,55105.27352000001,148815.73380000005
3,DuoMono,2500,2000,1000,9000,6,Bristol,430,24,4413.9719000000005,12526.759749999997
1,SingleMonoIncline,3500,2000,700,250000,3,Doncaster,718,252,49122.31194000001,137114.48985
2,SingleMonoDecline,2000,2000,400,50000,3,Wakefield,687,28.8,8954.0833,25795.238250000002
1,SingleMonoIncline,2500,1000,1000,15000,3,Reading,530,42,4160.785220000001,12536.833049999997
2,SingleMonoDecline,2500,2500,250,29000,3,Perth,1500,8.25,6131.23006,18748.82515
2,SingleMonoDecline,3500,2000,1200,250000,3,Torquay,560,432,49122.31194000001,136640.48985
1,SingleMonoIncline,3000,750,800,15000,3,Enfield,761,43.2,4558.9344200000005,13884.80605
3,DuoMono,2333,1500,250,200000,6,Derby,630,190.5,73123.95778000001,201013.40444999997
4,GullWing,2500,1250,300,10000,6,Falkirk,1290,14.4,5327.490159999999,15913.755399999998
1,SingleMonoIncline,3500,1134,400,40000,3,Lancaster,769,39.6,9817.897979999998,28310.374949999998
1,SingleMonoIncline,1500,1250,400,29000,3,Bradford,734,26.4,5742.52286,17345.457149999995
2,SingleMonoDecline,2333,1250,200,20000,3,London SW,761,9,4604.3843400000005,13907.230849999996
3,DuoMono,2333,1134,200,29000,6,London SW,761,28.8,12777.58552,35796.9538
4,GullWing,2333,2000,800,29000,6,London W,750,67.2,9577.4654,26796.77349999999
1,SingleMonoIncline,1500,1750,700,250000,3,Aberdeen,1645,287.7,40319.84328,118813.19820000001
2,SingleMonoDecline,3500,1000,800,60000,3,Dartford,765,134.4,13816.97324,39410.34309999999
4,GullWing,1750,900,600,150000,6,Luton,718,550.8,43903.74052000001,125933.90130000003
3,DuoMono,3000,1000,800,50000,6,London SW,761,220.8,22913.346149999998,63642.035375
4,GullWing,4000,1250,800,29000,6,St Albans,760,105.6,14383.908080000001,39309.2802
3,DuoMono,2333,1750,800,15000,6,Dudley,500,38.4,7025.7702899999995,19776.53572499999
2,SingleMonoDecline,3000,1250,500,150000,3,London North,751,169.5,30603.50416,87103.1104
2,SingleMonoDecline,1500,2000,300,29000,3,Chelmsford,670,12.6,5581.994459999999,16636.936149999994
3,DuoMono,2333,1500,400,9000,6,Swansea,571,14.4,4737.69258,13598.661449999998
2,SingleMonoDecline,2000,1500,200,100000,3,Magor - Kilkenny,1650,37.8,17497.81746,50931.493650000004
2,SingleMonoDecline,3000,1250,400,10000,3,Carlisle,950,9.6,2993.36588,9448.804699999999
2,SingleMonoDecline,1500,750,1200,20000,3,Bromley,764,86.4,4285.85902,13387.517549999997
4,GullWing,1750,2500,900,29000,6,Lincoln,689,59.4,8073.048879999999,22792.332199999993
4,GullWing,3000,1750,450,10000,6,Magor - Belfast,1350,13.5,5296.103099999998,15712.887749999996
2,SingleMonoDecline,2000,1134,200,15000,3,Truro,860,7.2,3765.91384,11818.854599999997
3,DuoMono,2000,750,600,9000,6,Chelmsford,670,39.6,4927.3622,14475.835499999997
1,SingleMonoIncline,1500,2500,900,100000,3,Dudley,500,105.3,16635.747,47303.7975
1,SingleMonoIncline,3000,900,600,29000,3,Magor - Derry,1450,54,7250.80126,22075.353150000003
3,DuoMono,3000,750,300,15000,6,Magor - Kilkenny,1650,32.4,9333.394449999998,27303.59612499999
2,SingleMonoDecline,1500,1250,600,250000,3,Cleveland,832,338.4,41199.24308000001,120123.09770000001
3,DuoMono,2333,2000,400,40000,6,Magor - Limerick,1750,45.6,15297.28643,43188.28607499999
1,SingleMonoIncline,2333,900,1000,200000,3,Doncaster,718,612,37965.38574,110147.45435
3,DuoMono,1500,750,500,40000,6,London North,751,144,15617.65095,44753.397374999986
